eia_ptid,usgs_gage_new
19,USGS-02418500
34,USGS-11421900
238,USGS-11439300
239,USGS-11319500
241,USGS-11425310
244,USGS-11359100
249,USGS-11363930
265,USGS-11354200
266,USGS-11362300
267,USGS-11362600
268,USGS-11362700
270,USGS-11364800
272,USGS-11404900
275,USGS-11403800
279,USGS-11314000
293,USGS-11246610
297,USGS-11516530
317,USGS-11238100
318,USGS-11238380
319,USGS-11241800
320,USGS-11246530
321,USGS-11238550
322,USGS-11238400
344,USGS-11235100
354,USGS-11235500
414,USGS-11292820
416,USGS-11299996
417,USGS-11396290
424,USGS-11427200
425,USGS-11428600
427,USGS-11427765
431,USGS-11441780
432,USGS-11429340
433,USGS-11429300
436,USGS-11063682
442,USGS-11525430
443,USGS-11370500
450,USGS-11371600
537,USGS-11323500
712,USGS-02210500
719,USGS-02341500
805,USGS-01059000
809,USGS-13077000
819,USGS-13172500
1605,USGS-01172003
2192,USGS-06204050
2203,USGS-12362500
2353,USGS-01144500
2368,USGS-01054000
2543,USGS-01348000
2574,USGS-04249000
2600,USGS-01357500
2611,USGS-04267500
2614,USGS-01325000
2641,USGS-04232000
2707,USGS-02129000
3028,USGS-11510700
3074,USGS-14181500
3117,USGS-01576000
3290,USGS-02161000
3293,USGS-02168504
3319,USGS-02172002
3745,USGS-01154500
3774,USGS-03171000
3777,USGS-02060500
3847,USGS-14220500
3855,USGS-12193500
3867,USGS-12433000
3883,USGS-12453700
3895,USGS-14105700
3916,USGS-12086500
3917,USGS-14238000
3921,USGS-12438000
4000,USGS-05365500
6200,USGS-12462600
6395,USGS-13190500
6433,USGS-12398600
6561,USGS-03198000
6612,USGS-11441002
7128,USGS-01563200
7338,USGS-11404240
7588,USGS-12138160
10613,USGS-01021000
54953,USGS-01327750
