dam,eia_id,max_param,min_param,ador_param
ALF,851,1,0.9615349645328686,0.09677419354838707
DWR,840,0.6655896181254796,0.8810438550128203,0.09677419354838714
IHR,3925,0.9771886396587743,0.7927373800909241,0.250733137829912
LGS,3926,0.9650312288626846,0.6913426974196113,0.2809340394800192
LMN,3927,0.9963879674149655,0.4859544820072721,0.29544243070362475
LWG,6175,0.9521752545510644,0.7284167775877932,0.29715221774193545
WAN,3888,0.019119742439277686,0.9999999999999996,0.04824074074074073
PRD,3887,1.353414734781124e-14,1,0.033333333333333326
RRH,3883,0,1,0.10378681626928472
GCL,6163,0,1,0.049549849795638756
HGH,2203,0.6049678288193925,0.7665722255169773,0.1166666666666667
BCL,3074,0.7646514035111612,0.4902262244673842,0.1894999706210706
DET,3077,1,0.4003336113427856,0.2401282138716497
DEX,3078,0.7061823995203957,0.5233294255568581,0.196969696969697
FOS,6552,1,0.5388933440256616,0.21111111111111117
GPR,3080,1,0.19661733615221988,0.14174937965260548
HCR,3081,1,0.49442060085836903,0.15047021943573669
LOP,3083,1,0.46284289276807977,0.0976958525345622
LOS,6174,0.45144301664208963,0.8558951965065502,0.12538402457757297
CHJ,3921,0,1,0.07384376214535562
LIB,6172,0.03692055765869724,1,0.03571428571428572
CGR,3076,1,0.6322061903956493,0.154147465437788
JDA,3082,0,1,0.033333333333333326
BON,3075,0,1,NA
RIS,6200,0,1,NA
TDA,3895,0,1,0.05263157894736842
MCN,3084,6.504895413066686e-18,1.0000000000000002,0.03225806451612902
