usace, usace_name, eia_id
"Bonneville", BON, 3075
"Chief Joeseph", CHJ, 3921
"Grand Coulee", GCL, 6163
"Ice Harbor", IHR, 3925
"John Day", JDA, 3082
"Little Goose", LGS, 3926
"Lower Monumental", LMN, 3927
"Lower Granite", LWG, 6175
"McNary", MCN, 3084
"Priet Rapids", PRD, 3887
"The Dalles", TDA, 3895
"Libbey", LIB, 6172
"Albeni Falls", ALF, 851
"Big Cliff", BCL, 3074
"Cougar", CGR, 3076
"Detroit", DET, 3077
"Dexter", DEX, 3078
"Dworshack", DWR, 840
"Foster", FOS, 6552
"Green Peter", GPR, 3080
"Hills Creek", HCR, 3081
"Hungry Horse", HGH, 2203
"Look Out Point", LOP, 3083
"Lost Creek", LOS, 6174
"Rock Island", RIS, 6200
"Rocky Reach", RRH, 3883
"Wanapum", WAN, 3888
"Wells", WEL, 3886L
