eia_id,plant_name_eia,plant_id_pudl,n_eia_ids_to_combine
217,Balch 1,961,2
218,Balch 2,961,2
222,Caribou 1,986,2
223,Caribou 2,986,2
243,Hat Creek 1,966,2
244,Hat Creek 2,966,2
276,San Joaquin 2,1526,2
277,San Joaquin 3,1526,2
281,Spaulding 1,808,3
282,Spaulding 2,808,3
283,Spaulding 3,808,3
294,Copco 1,1001,2
295,Copco 2,1001,2
336,Kaweah 2,1372,3
337,Kaweah 1,1372,3
338,Kaweah 3,1372,3
339,Kern River 3,1031,2
340,Kern River 1,1031,2
815,Lower Malad,369,2
823,Upper Malad,369,2
2546,Black River,2069,2
2600,Rainbow Falls Parishville,2111,2
2638,Rochester 26,41,3
2639,Rochester 2,41,3
2641,Rochester 5,41,3
3020,Clearwater 1,994,2
3021,Clearwater 2,994,2
3029,Lemolo 1,1002,2
3033,Prospect 2,792,2
3034,Prospect 3,792,2
3860,Snoqualmie,588,2
3914,Cushman 1,2411,2
3915,Cushman 2,2411,2
6421,Lemolo 2,1002,2
6526,Rainbow Falls,2111,2
7820,Big Quinnesec 92,55,2
7821,Big Quinnesec 61,55,2
7867,Snoqualmie 2,588,2
10687,Black River Hydro Associates,2069,2
54772,South Glens Falls Hydro,1222,2
56936,Brookfield Power Glen Falls Hydro,1222,2
