EIA_ID,plant,state,USGS_ID,USGS_ID_turbinerelease,USGS_ID_totalrelease,USGS_ID_update,notes,alt_ID_turbinerelease,alt_source_turbinerelease,alt_ID_totalrelease,alt_source_totalrelease,update_flag
833,Cabinet Gorge,ID,12433000,,,,12391950; usgs alternative,,,CAB.Flow-Out.Ave.1Hour.1Hour.CBT-RAW;kcfs,NWD,1
59357,Dorena Lake Dam Project,OR,14211720,,,,,,,DOR.Flow-Out.Inst.0.0.Best;cfs,NWD,1
7511,McNary Fish,WA,14105700,,,,"main generator flows, but best approximation",,,MCN.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,1
2199,Noxon Rapids,MT,12433000,,,,12391400; usgs alternative,,,NOX.Flow-Out.Ave.1Hour.1Hour.CBT-RAW;kcfs,NWD,1
7431,The Dalles Fishway,WA,14105700,,,,"main generator flows, but best approximation",,,TDA.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,1
851,Albeni Falls,ID,12433000,,,,NWD,ALF.Flow-Gen.Ave.~1Day.1Day.CBT-REV;cfs,NWD,,,1
3074,Big Cliff,OR,14211720,,,,,BCL.Flow-Gen.Ave.~1Day.1Day.CBT-REV;cfs,NWD,,,1
3075,Bonneville,OR,14246900,,,,,BON.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
3076,Cougar,OR,14211720,,,,,CGR.Flow-Gen.Ave.~1Day.1Day.CBT-REV;cfs,NWD,,,1
3921,Chief Joseph,WA,12472800,,,,,CHJ.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
3077,Detroit,OR,14211720,,,,,DET.Flow-Gen.Ave.~1Day.1Day.CBT-REV;cfs,NWD,,,1
3078,Dexter,OR,14211720,,,,,DEX.Flow-Gen.Ave.~1Day.1Day.CBT-REV;cfs,NWD,,,1
840,Dworshak,ID,13342500,,,,NWD,DWR.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
6552,Foster,OR,14211720,,,,,FOS.Flow-Gen.Ave.~1Day.1Day.CBT-REV;cfs,NWD,,,1
6163,Grand Coulee,WA,12472800,,,,,GCL.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
3080,Green Peter,OR,14211720,,,,,GPR.Flow-Gen.Ave.~1Day.1Day.CBT-REV;cfs,NWD,,,1
3081,Hills Creek,OR,14211720,,14145500,,,HCR.Flow-Gen.Ave.~1Day.1Day.CBT-REV;cfs,NWD,,,1
2203,Hungry Horse,MT,12433000,,,,NWD,HGH.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
3925,Ice Harbor,WA,13342500,,,,,IHR.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
3082,John Day,OR,14105700,,,,,JDA.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
3926,Little Goose,WA,13342500,,,,,LGS.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
6172,Libby,MT,12433000,,,,,LIB.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
3927,Lower Monumental,WA,13342500,,,,,LMN.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
3083,Lookout Point,OR,14211720,,,,,LOP.Flow-Gen.Ave.~1Day.1Day.CBT-REV;cfs,NWD,,,1
6174,Lost Creek,OR,14301000,,,,,LOS.Flow-Gen.Ave.~1Day.1Day.CBT-REV;cfs,NWD,,,1
6175,Lower Granite,WA,13342500,,,,,LWG.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
3084,McNary,OR,14105700,,,,,MCN.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
3887,Priest Rapids,WA,12472800,,,,,PRD.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
6200,Rock Island,WA,12472800,,,,,RIS.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
3883,Rocky Reach,WA,12472800,,,,,RRH.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
3895,The Dalles,OR,14105700,,,,,TDA.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
3888,Wanapum,WA,12472800,,,,,WAN.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
3886,Wells,WA,12472800,,,,,WEL.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,,,1
162,Drop No. 9,CA,NA,,,,canal,,,,,0
7113,Potholes East Canal Headworks,WA,12472800,,,,data in CBP but not accessable,,,,,0
10707,Cove Hydroelectric,CA,NA,,,,NA;  no gauge,,,,,0
54142,Hillcrest Pump Station,CO,NA,,,,NA;  no gauge,,,,,0
10806,Crystal Springs,ID,NA,,,,NA;  no gauge,,,,,0
10809,Rock Creek II,ID,NA,,,,NA;  no gauge,,,,,0
50323,N-32 Canal,ID,NA,,,,NA;  no gauge,,,,,0
50891,El Dorado Hydro Elk Creek,ID,NA,,,,NA;  no gauge,,,,,0
54394,Dry Creek Project,ID,NA,,,,NA;  no gauge,,,,,0
54514,Blind Canyon Hydro,ID,NA,,,,NA;  no gauge,,,,,0
50360,Michell Butte Power Project,OR,NA,,,,NA;  no gauge,,,,,0
52155,Lacomb Irrigation District,OR,NA,,,,NA;  no gauge,,,,,0
52039,Quail Creek Hydro Plant #1,UT,9402300,,,,NA;  no gauge,,,,,0
50091,Big Sheep Creek,WA,NA,,,,NA;  no gauge,,,,,0
50228,Rocky Brook Hydroelectric,WA,NA,,,,NA;  no gauge,,,,,0
