EIA_ID,plant,state,gauge_id,gauge_source,data_type,data_type_id,timestep,units,notes,update_flag
376,Pardee,CA,PAR;23;D,CDEC,outflow-total,,D,cfs,NA,1
382,R C Kirkwood,CA,HTH;110;D,CDEC,outflow-total,,D,cfs,NA,1
392,Castaic,CA,CAS;23;H,CDEC,outflow-total,,D,cfs,NA; no gauge; on LA aqueduct,1
439,Don Pedro,CA,DNP;23;D,CDEC,outflow-total,,D,cfs,NA,1
7066,Stampede,CA,STP;23;D,CDEC,outflow-total,,D,cfs,NA,1
7129,Thermalito Diverson Dam,CA,TDV;48;D,CDEC,outflow-total,,D,cfs,NA,1
7224,High Line,CA,SDV;110;E,CDEC,outflow-total,,D,cfs,NA; no gauge,1
7229,Black Butte,CA,BLB;23;D,CDEC,outflow-total,,D,cfs,NA,1
7489,Lake Mendocino,CA,COY;23;D,CDEC,outflow-total,,D,cfs,NA,1
7907,Pine Flat,CA,PNF;23;D,CDEC,outflow-total,,D,cfs,NA,1
10139,Isabella Hydro Project,CA,ISB;23;D,CDEC,outflow-total,,D,cfs,NA,1
10222,Success,CA,SCC;23;D,CDEC,outflow-total,,D,cfs,includes other release works; misses water pumped from tailrace to Pioneer Canal,1
50755,New Hogan,CA,NHG;23;D,CDEC,outflow-total,,D,cfs,NA,1
54261,Warm Springs,CA,WRS;23;D,CDEC,outflow-total,,D,cfs,NA,1
54343,Terminus Hydroelectric Project,CA,TRM;23;D,CDEC,outflow-total,,D,cfs,NA,1
7373,Towaoc,CO,DOLTUNCO,CDSS,outflow-total,,D,cfs,NA,1
10081,Strontia Springs Hydro Plant,CO,PLASTRCO,CDSS,outflow-total,,D,cfs,unclear if turbine discharges water into conduit or river,1
10423,North Fork Hydro Plant,CO,ROBTUNCO,CDSS,outflow-total,,D,cfs,NA,1
10424,Gross,CO,BOCBGRCO,CDSS,outflow-total,,D,cfs,NA,1
50267,Redlands Water & Power,CO,RLCGRJCO,CDSS,outflow-total,,D,cfs,NA,1
58783,South Canal Hydro-1,CO,SOUCANCO,CDSS,outflow-total,,D,cfs,NA,1
58784,South Canal Hydro-3,CO,SOUCANCO,CDSS,outflow-total,,D,cfs,NA,1
61189,Shavano Falls Hydro,CO,SOUCANCO,CDSS,outflow-total,,D,cfs,NA,1
61190,Shavano Falls Hydro Drop 4,CO,SOUCANCO,CDSS,outflow-total,,D,cfs,NA,1
61191,Drop 5,CO,SOUCANCO,CDSS,outflow-total,,D,cfs,NA,1
513,Estes,CO,OLYTUNCO;QJ,MBH,outflow-total,,D,cfs,NA,1
517,Marys Lake,CO,MARYSR;QD,MBH,outflow-total,,D,cfs,NA,1
518,Flatiron,CO,FLARESCO;QD,MBH,outflow-total,,D,cfs,alt FLARESCO;QED1+QED2+QED3,1
674,Pilot Butte,WY,PBR;IN,MBH,outflow-total,,D,cfs,inflow to offstream reservoir through pp,1
2204,Yellowtail,MT,167,MBH,outflow-total,,D,cfs,NA,1
4180,Kortes,WY,KORR;QD,MBH,outflow-total,,D,cfs,NA,1
7458,Ruedi,CO,RUERESCO;QD,MBH,outflow-total,,D,cfs,NA,1
50435,Sugarloaf Hydro Plant,CO,TURQ;QD,MBH,outflow-total,,D,cfs,NA,1
57551,Garland Canal,WY,BBR;QJ,MBH,outflow-total,,D,cfs,upstream of pp,1
58622,Carter Hydro,CO,CARCONCO;QJ,MBH,outflow-total,,D,cfs,NA,1
2204,Yellowtail,MT,BHR;QED,MBH,outflow-power,,D,cfs,NA,1
153,Glen Canyon,AZ,NA,NA,outflow-power,,D,cfs,NA,1
154,Hoover Dam (NV),NV,NA,NA,outflow-power,,D,cfs,combined with Hoover Dam (AZ),1
473,Palisade,CO,NA,NA,outflow-power,,D,cfs,NA,1
505,Boysen,WY,NA,NA,outflow-power,,D,cfs,NA,1
515,Big Thompson,CO,NA,NA,outflow-power,,D,cfs,NA,1
519,Pole Hill,CO,NA,NA,outflow-power,,D,cfs,NA,1
840,Dworshak,ID,NA,NA,outflow-power,,D,cfs,NWD,1
851,Albeni Falls,ID,NA,NA,outflow-power,,D,cfs,NWD,1
2203,Hungry Horse,MT,NA,NA,outflow-power,,D,cfs,NWD,1
3074,Big Cliff,OR,NA,NA,outflow-power,,D,cfs,NA,1
3075,Bonneville,OR,NA,NA,outflow-power,,D,cfs,NA,1
3076,Cougar,OR,NA,NA,outflow-power,,D,cfs,NA,1
3077,Detroit,OR,NA,NA,outflow-power,,D,cfs,NA,1
3078,Dexter,OR,NA,NA,outflow-power,,D,cfs,NA,1
3080,Green Peter,OR,NA,NA,outflow-power,,D,cfs,NA,1
3081,Hills Creek,OR,NA,NA,outflow-power,,D,cfs,NA,1
3082,John Day,OR,NA,NA,outflow-power,,D,cfs,NA,1
3083,Lookout Point,OR,NA,NA,outflow-power,,D,cfs,NA,1
3084,McNary,OR,NA,NA,outflow-power,,D,cfs,NA,1
3883,Rocky Reach,WA,NA,NA,outflow-power,,D,cfs,NA,1
3886,Wells,WA,NA,NA,outflow-power,,D,cfs,NA,1
3887,Priest Rapids,WA,NA,NA,outflow-power,,D,cfs,NA,1
3888,Wanapum,WA,NA,NA,outflow-power,,D,cfs,NA,1
3895,The Dalles,OR,NA,NA,outflow-power,,D,cfs,NA,1
3921,Chief Joseph,WA,NA,NA,outflow-power,,D,cfs,NA,1
3925,Ice Harbor,WA,NA,NA,outflow-power,,D,cfs,NA,1
3926,Little Goose,WA,NA,NA,outflow-power,,D,cfs,NA,1
3927,Lower Monumental,WA,NA,NA,outflow-power,,D,cfs,NA,1
4183,Shoshone,WY,NA,NA,outflow-power,,D,cfs,NA,1
4185,Fontenelle,WY,NA,NA,outflow-power,,D,cfs,NA,1
6158,New Melones,CA,NA,NA,outflow-power,,D,cfs,NA,1
6163,Grand Coulee,WA,NA,NA,outflow-power,,D,cfs,NA,1
6172,Libby,MT,NA,NA,outflow-power,,D,cfs,NA,1
6174,Lost Creek,OR,NA,NA,outflow-power,,D,cfs,NA,1
6175,Lower Granite,WA,NA,NA,outflow-power,,D,cfs,NA,1
6200,Rock Island,WA,NA,NA,outflow-power,,D,cfs,NA,1
6395,Anderson Ranch,ID,NA,NA,outflow-power,,D,cfs,NA,1
6400,Canyon Ferry,MT,NA,NA,outflow-power,,D,cfs,NA,1
6403,Green Springs,OR,NA,NA,outflow-power,,D,cfs,NA,1
6404,Deer Creek,UT,NA,NA,outflow-power,,D,cfs,NA,1
6405,Flaming Gorge,UT,NA,NA,outflow-power,,D,cfs,NA,1
6406,Chandler,WA,NA,NA,outflow-power,,D,cfs,NA,1
6407,Roza,WA,NA,NA,outflow-power,,D,cfs,NA,1
6408,Heart Mountain,WY,NA,NA,outflow-power,,D,cfs,NA,1
6552,Foster,OR,NA,NA,outflow-power,,D,cfs,NA,1
7317,Buffalo Bill,WY,NA,NA,outflow-power,,D,cfs,NA,1
7541,Spirit Mountain,WY,NA,NA,outflow-power,,D,cfs,NA,1
8902,Hoover Dam (AZ),AZ,NA,NA,outflow-power,,D,cfs,combined with Hoover Dam (NV),1
10014,Lucky Peak,ID,NA,NA,outflow-power,,D,cfs,NA,1
833,Cabinet Gorge,ID,CAB.Flow-Out.Ave.1Hour.1Hour.CBT-RAW;kcfs,NWD,outflow-total,,D,cfs,12391950; usgs alternative,1
2199,Noxon Rapids,MT,NOX.Flow-Out.Ave.1Hour.1Hour.CBT-RAW;kcfs,NWD,outflow-total,,D,cfs,12391400; usgs alternative,1
7431,The Dalles Fishway,WA,TDA.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,outflow-total,,D,cfs,"main generator flows, but best approximation",1
7511,McNary Fish,WA,MCN.Flow-Gen.Ave.~1Day.1Day.CBT-REV;kcfs,NWD,outflow-total,,D,cfs,"main generator flows, but best approximation",1
59357,Dorena Lake Dam Project,OR,DOR.Flow-Out.Inst.0.0.Best;cfs,NWD,outflow-total,,D,cfs,NA,1
4204,Island Park,ID,ISL;QD,PNH,outflow-total,,D,cfs,NA,1
6484,Bend,OR,DEBO;QD,PNH,outflow-total,,D,cfs,NA,1
6507,Drop 2,WA,WOPW;QJ,PNH,outflow-total,,D,cfs,main canal diversion,1
6508,Drop 3,WA,WOPW;QJ,PNH,outflow-total,,D,cfs,main canal diversion,1
10807,Dietrich Drop,ID,MIII;QJ,PNH,outflow-total,,D,cfs,NA,1
10808,Lower Low Line,ID,TCSI;QJ,PNH,outflow-total,,D,cfs,NA,1
50361,Owyhee Dam Power Project,OR,OWY;QD,PNH,outflow-total,,D,cfs,NA,1
50362,Tunnel 1 Power Project,OR,OWCO;QJ,PNH,outflow-total,,D,cfs,NA,1
50718,Notch Butte Hydro,ID,WODI;QD,PNH,outflow-total,,D,cfs,gauge upstream of pp,1
50895,Bypass,ID,TCNI;QJ,PNH,outflow-total,,D,cfs,NA,1
50896,S E Hazelton A,ID,TCNI;QJ,PNH,outflow-total,,D,cfs,NA,1
50980,Central Oregon Siphon,OR,CENO;QJ,PNH,outflow-total,,D,cfs,NA,1
54306,Wilson Lake Hydroelectric Project,ID,TCNI;QJ,PNH,outflow-total,,D,cfs,misses reservoir effects,1
54558,Hazelton B Hydro,ID,TCNI;QJ,PNH,outflow-total,,D,cfs,NA,1
54812,Mile 28 Water Power Project,ID,MIII;QJ,PNH,outflow-total,,D,cfs,diversion quite upstream,1
56893,Chester Diversion Hydroelectric Project,ID,CHCI;QJ,PNH,outflow-total,,D,cfs,NA,1
56997,Arrowrock,ID,ARKI;QD,PNH,outflow-total,,D,cfs,NA,1
57437,Juniper Ridge Hydroelectric Project,OR,NCAO;QJ,PNH,outflow-total,,D,cfs,NA,1
57496,Tieton,WA,RIM;QD,PNH,outflow-total,,D,cfs,NA,1
58455,45-Mile Hydroelectric Project,OR,NMCO;QJ,PNH,outflow-total,,D,cfs,NA,1
58470,C Drop,OR,ACHO;QJ,PNH,outflow-total,,D,cfs,NA,1
152,Davis,AZ,6135,RISE,outflow-total,,D,cfs,NA,1
441,Folsom,CA,10772,RISE,outflow-total,,D,cfs,NA,1
443,Keswick,CA,10792,RISE,outflow-total,,D,cfs,NA,1
444,Nimbus,CA,10817,RISE,outflow-total,,D,cfs,NA,1
445,Shasta,CA,10869,RISE,outflow-total,,D,cfs,NA,1
447,Parker,CA,6130,RISE,outflow-total,,D,cfs,NA,1
451,Trinity,CA,10859,RISE,outflow-total,,D,cfs,NA,1
512,Blue Mesa,CO,4310,RISE,outflow-total,,D,cfs,NA,1
514,Morrow Point,CO,4311,RISE,outflow-total,,D,cfs,NA,1
516,Green Mountain,CO,23,RISE,outflow-total,,D,cfs,NA,1
584,Navajo Dam,NM,4316,RISE,outflow-total,,D,cfs,NA,1
977,Lewiston,CA,10796,RISE,outflow-total,,D,cfs,NA,1
3698,Wanship,UT,4335,RISE,outflow-total,,D,cfs,NA,1
4176,Fremont Canyon,WY,647,RISE,outflow-total,,D,cfs,Pathfinder total release,1
4177,Glendo,WY,377,RISE,outflow-total,,D,cfs,NA,1
4178,Guernsey,WY,377,RISE,outflow-total,,D,cfs,NA,1
4182,Seminoe,WY,735,RISE,outflow-total,,D,cfs,NA,1
4263,Echo Dam,UT,4330,RISE,outflow-total,,D,cfs,NA,1
6159,Crystal,CO,4312,RISE,outflow-total,,D,cfs,NA,1
6402,Elephant Butte,NM,4377,RISE,outflow-total,,D,cfs,NA,1
