Generator Name,DataTypeName,DatatypeID,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Roosevelt,VOMCost,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Roosevelt,FixedCost,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Roosevelt,MinGen,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Roosevelt,MaxCap,4,0,36,36,36,36,36,36,36,36,36,36,36,36
Roosevelt,MonthlyEnergy,5,0,3713,15236,19985,12111,7268,14882,18153,21104,16926,2687,2640,3856
Roosevelt,KLoadFollowing,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Roosevelt,DispatchCost,9,0,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50
Roosevelt,Pvalue,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Roosevelt,DailyOpRange,11,0,11.18,28.82,39.24,39.07,36.87,35.85,34.35,28.89,33.68,18.68,19.43,24.58
Roosevelt,PLFAllocator,12,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
KernRiver1_1,VOMCost,1,0,0,0,0,0,0,0,0,0,0,0,0,0
KernRiver1_1,FixedCost,2,0,0,0,0,0,0,0,0,0,0,0,0,0
KernRiver1_1,MinGen,3,0,0.5175,0.72,1.075,1.6675,1.7925,1.135,2.665,1.46,0.0125,0.0075,1.155,0.005
KernRiver1_1,MaxCap,4,0,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6
KernRiver1_1,MonthlyEnergy,5,0,1607.335,1859.61,2365.177,2163.083,2596.667,2349.685,2526.718,1807.958,1078.01,993.045,1114.882,911.215
KernRiver1_1,KLoadFollowing,6,0,0,0,0,0,0,0,0,0,0,0,0,0
KernRiver1_1,DispatchCost,9,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
KernRiver1_1,Pvalue,10,0,0,0,0,0,0,0,0,0,0,0,0,0
KernRiver1_1,DailyOpRange,11,0,3.07,2.9725,2.3625,1.51,0.52,0.41,0.3625,0.425,0.4875,0.365,0.4525,0.3625
KernRiver1_1,PLFAllocator,12,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Portal,VOMCost,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Portal,FixedCost,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Portal,MinGen,3,0,0.35,0.15,2.47,1.88,6.39,7.32,3.82,4.22,2.7,0,0,0
Portal,MaxCap,4,0,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8
Portal,MonthlyEnergy,5,0,1728.27,2913.17,3538.37,3757.53,6222.82,6729.48,5687.11,5018.34,4342.66,1471.42,205.06,619.99
Portal,KLoadFollowing,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Portal,DispatchCost,9,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
Portal,Pvalue,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Portal,DailyOpRange,11,0,2.76,1.93,1.72,1.96,0.98,0.64,1.72,2.43,1.32,0.65,0.19,0.78
Portal,PLFAllocator,12,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
MammothPool2,VOMCost,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MammothPool2,FixedCost,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MammothPool2,MinGen,3,0,2.625,1.135,18.265,13.945,47.325,54.185,28.265,31.27,19.99,0.02,0.02,0.025
MammothPool2,MaxCap,4,0,80,80,80,80,80,80,80,80,80,80,80,80
MammothPool2,MonthlyEnergy,5,0,12802.01,21579.02,26210.16,27833.55,46094.98,49848,42126.71,37172.9,32167.88,10899.38,1518.98,4592.535
MammothPool2,KLoadFollowing,6,0,0,0,0,0,0,0,0,0,0,0,0,0
MammothPool2,DispatchCost,9,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
MammothPool2,Pvalue,10,0,0,0,0,0,0,0,0,0,0,0,0,0
MammothPool2,DailyOpRange,11,0,20.445,14.33,12.775,14.525,7.27,4.725,12.77,17.97,9.755,4.83,1.395,5.755
MammothPool2,PLFAllocator,12,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Venice_1,VOMCost,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Venice_1,FixedCost,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Venice_1,MinGen,3,0,0.5,0.7,1,1.2,1.6,1.5,1.6,1.3,1,0.8,0.6,0.6
Venice_1,MaxCap,4,0,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14,10.14
Venice_1,MonthlyEnergy,5,0,442,585,924,1095,1497,1354,1493,1219,908,721,503,528
Venice_1,KLoadFollowing,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Venice_1,DispatchCost,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Venice_1,DailyOpRange,11,0,0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0,0.1
Venice_1,PLFAllocator,12,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Lundy1,VOMCost,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lundy1,FixedCost,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Lundy1,MinGen,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Lundy1,MaxCap,4,0,0.74,0.76,0.72,0.76,1.04,1.02,0.93,0.77,0.62,0.62,0.68,0.74
Lundy1,MonthlyEnergy,5,0,71.5,94.5,149.5,177,242,219,241.5,197,147,116.5,81.5,85.5
Lundy1,KLoadFollowing,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Lundy1,DispatchCost,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Lundy1,Pvalue,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Lundy1,DailyOpRange,11,0,0.74,0.76,0.72,0.76,1.04,1.02,0.93,0.77,0.62,0.62,0.68,0.74
Lundy1,PLFAllocator,12,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Haas2,VOMCost,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Haas2,FixedCost,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Haas2,MinGen,3,0,0.015,0.135,0.115,4.145,8.205,22.635,12.03,1.485,0.13,0.09,0.1,0.015
Haas2,MaxCap,4,0,72,72,72,72,72,72,72,72,72,72,72,72
Haas2,MonthlyEnergy,5,0,4765.07,5948.28,8794.305,19621.57,24876.46,34822.04,36012.23,16727.96,14115.14,12314.63,7989.905,19435.39
Haas2,KLoadFollowing,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Haas2,DispatchCost,9,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
Haas2,Pvalue,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Haas2,DailyOpRange,11,0,24.305,25.37,21.865,31.91,30.58,38.83,42.785,40.395,38.845,28.06,28.67,28.795
Haas2,PLFAllocator,12,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Haas1,VOMCost,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Haas1,FixedCost,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Haas1,MinGen,3,0,0.015,0.135,0.115,4.145,8.205,22.635,12.03,1.485,0.13,0.09,0.1,0.015
Haas1,MaxCap,4,0,72,72,72,72,72,72,72,72,72,72,72,72
Haas1,MonthlyEnergy,5,0,4765.07,5948.28,8794.305,19621.57,24876.46,34822.04,36012.23,16727.96,14115.14,12314.63,7989.905,19435.39
Haas1,KLoadFollowing,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Haas1,DispatchCost,9,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
Haas1,Pvalue,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Haas1,DailyOpRange,11,0,24.305,25.37,21.865,31.91,30.58,38.83,42.785,40.395,38.845,28.06,28.67,28.795
Haas1,PLFAllocator,12,0,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
Kerckhoff_H3,VOMCost,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerckhoff_H3,FixedCost,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerckhoff_H3,MinGen,3,0,0,0,0,0.00995,3.743834,0.6698446,0,0,0,0,0,0
Kerckhoff_H3,MaxCap,4,0,8.356477,8.356477,8.356477,8.356477,8.356477,8.356477,8.356477,8.356477,8.356477,8.356477,8.356477,8.356477
Kerckhoff_H3,MonthlyEnergy,5,0,775.8226,1339.557,1936.56,1970.159,4813.792,3229.102,2400.043,1737.524,1640.914,511.0914,202.953,785.6547
Kerckhoff_H3,KLoadFollowing,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerckhoff_H3,DispatchCost,9,0,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10
Kerckhoff_H3,Pvalue,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerckhoff_H3,DailyOpRange,11,0,3.833368,4.692228,4.284352,3.276269,1.850363,3.783627,4.818238,4.705492,4.407047,1.376166,1.137409,3.100518
Kerckhoff_H3,PLFAllocator,12,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
Kerckhoff_H2,VOMCost,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerckhoff_H2,FixedCost,2,0,0,0,0,0,0,0,0,0,0,0,0,0
