Generator Name,EIA_ID
Venice_1,72
Horse Mesa HM1,145
Horse Mesa HM2,145
Horse Mesa HM3,145
Mormon Flat 1,148
Roosevelt,149
Stewart Mountain,150
Davis Dam 1,152
Davis Dam 2,152
Davis Dam 3,152
Davis Dam 4,152
Davis Dam 5,152
Glen Canyon 1,153
Glen Canyon 2,153
Glen Canyon 3,153
Glen Canyon 4,153
Glen Canyon 5,153
Glen Canyon 6,153
Glen Canyon 7,153
Glen Canyon 8,153
Hoover Dam N1,154
Hoover Dam N2,154
Hoover Dam N3,154
Hoover Dam N4,154
Hoover Dam N5,154
Hoover Dam N6,154
Hoover Dam N7,154
Hoover Dam N8,154
Balch1-1,217
Balch2-2,218
Balch2-3,218
Belden_1,219
Bucks_Creek_H1,220
Bucks_Creek_H2,220
Butt_Valley_1,221
Caribou1-1,222
Caribou1-2,222
Caribou1-3,222
Caribou_2_4,223
Caribou_2_5,223
Centerville1,224
Centerville2,224
Cow_Creek_1,229
Cow_Creek_2,229
Crane_Valley,230
Cresta_1,231
Cresta_2,231
Drum1-1,235
Drum1-2,235
Drum1-3,235
Drum1-4,235
Drum_2_5,236
Electra_1,239
Electra_2,239
Electra_3,239
Haas1,240
Haas2,240
Halsey_1,241
HamiltonBranch1,242
HamiltonBranch2,242
James_B_Black_1,249
James_B_Black_2,249
Kerckhoff_H1,250
Kerckhoff_H2,250
Kerckhoff_H3,250
KingsRiverHY,254
Pit_1_H1,265
Pit_1_H2,265
Pit_3_H1,266
Pit_3_H2,266
Pit_3_H3,266
Pit_4_1,267
Pit_4_2,267
Pit_5_H1,268
Pit_5_H2,268
Pit_5_H3,268
Pit_5_H4,268
Pit_6_H1,269
Pit_6_H2,269
Pit_7_H1,270
Pit_7_H2,270
Poe_1,272
Poe_2,272
Rock_Creek_H1,275
Rock_Creek_H2,275
Salt_Springs_1,279
Salt_Springs_2,279
Stanislaus_HC1,285
Tiger_Creek_H1,287
Tiger_Creek_H2,287
Drop 5,314
BigCreek1-1,317
BigCreek1-2,317
BigCreek1-3,317
BigCreek1-4,317
BigCreek2-3,318
BigCreek2-4,318
BigCreek2-5,318
BigCreek2-6,318
BigCreek3-1,319
BigCreek3-2,319
BigCreek3-3,319
BigCreek3-4,319
BigCreek3-5,319
BigCreek4-1,320
BigCreek4-2,320
BigCreek8-1,321
BigCreek8-2,321
BigCreek2A-1,322
BigCreek2A-2,322
Borel1,328
Kaweah1,337
KernRiver1_1,340
KernRiver1-2,340
KernRiver1-3,340
KernRiver1-4,340
Lundy1,342
MammothPool1,344
MammothPool2,344
Poole_1,353
Pardee_1,376
Pardee_2,376
Pardee_3,376
Dion_R_Holm_1,380
Dion_R_Holm_2,380
Moccasin_1,381
Moccasin_2,381
R_C_Kirkwood_1,382
R_C_Kirkwood_2,382
R_C_Kirkwood_3,382
Drop 2-1,385
Drop 2-2,385
Drop 3-1,386
Drop 3-2,386
Drop 4-1,387
Drop 4-2,387
Pilot Knob 1,388
Pilot Knob 2,388
Big Pine,391
Castaic 7,392
Control Gorge 1,393
Cottonwood 1,394
Cottonwood 2,394
Division Creek,395
Haiwee 1,398
Haiwee 2,398
Middle Gorge,401
Pleasant Valley,402
Upper Gorge,407
Exchequer,409
McSwain_1,410
Chicago_Park_2P,412
Donnells,415
Kelly_Ridge_1,418
Woodleaf,419
French_Meadows,424
Hell_Hole,424
MIddleFork1,425
MIddleFork2,425
Oxbow_(CA)_1,426
Ralston,427
Camino 1,430
Camino 2,430
Jaybird H1,431
Jaybird H2,431
Loon Lake,432
Robbs Peak H1,433
White Rock 1,435
White Rock 2,435
DevilCanyon1,436
DevilCanyon2,436
DevilCanyon3,436
DevilCanyon4,436
EdwardCHyatt1,437
EdwardCHyatt2a,437
EdwardCHyatt3,437
EdwardCHyatt4a,437
EdwardCHyatt5,437
EdwardCHyatt6a,437
Thermalito_1,438
Don Pedro 1,439
Don Pedro 2,439
Don Pedro 3,439
Don Pedro 4,439
La Grange 1-2,440
Folsom 1,441
Folsom 2,441
Folsom 3,441
Judge F Carr 1,442
Judge F Carr 2,442
Keswick 1,443
Keswick 2,443
Keswick 3,443
Shasta 1,445
Shasta 2,445
Shasta 3,445
Shasta 4,445
Shasta 5,445
Parker Dam 1,447
Parker Dam 2,447
Parker Dam 3,447
Parker Dam 4,447
Spring Creek 1,450
Spring Creek 2,450
Trinity 1,451
Trinity 2,451
Colgate_1,454
Colgate_2,454
Narrows2,455
Georgetown 1-2,472
Salida 1-2,474
Shoshone A,476
Shoshone B,476
Upper Dawson 1,489
Boysen1,505
Boysen2,505
Blue Mesa 1,512
Blue Mesa 2,512
Estes 1,513
Estes 2,513
Estes 3,513
Morrow Point 1,514
Morrow Point 2,514
BigThompson,515
Green Mountain 1,516
Green Mountain 2,516
Marys Lake,517
Flatiron 1,518
Flatiron 2,518
Pole Hill,519
Lower Molina,520
Upper Molina,521
Jones Fork H1,534
Camanche_1,537
Camanche_2,537
Camanche_3,537
Navajo Dam 1,584
Navajo Dam 2,584
Drop 1,585
East Highline,586
SouthForkTolt,622
Kerckhoff_2_1,682
Etiwanda_Hydro,745
Gem_State_1,790
AmericanFalls1,809
AmericanFalls2,809
AmericanFalls3,809
Bliss1,810
Bliss2,810
Bliss3,810
Brownlee1,811
